.00646,.66335,-1.60147	-.06067,.51058,-.56556
.00646,.66335,-1.60147	-.06189,.51090,-.56390
.00646,.66335,-1.60147	-.06476,.51140,-.56017
.00345,.66556,-1.59565	-.06598,.51155,-.55867
.00345,.66556,-1.59565	-.06737,.51166,-.55701
.00345,.66556,-1.59565	-.06945,.51171,-.55454
.00345,.66556,-1.59565	-.07329,.51163,-.54994
.00345,.66556,-1.59565	-.07393,.51164,-.54916
.00345,.66556,-1.59565	-.07595,.51174,-.54669
.00345,.66556,-1.59565	-.07803,.51197,-.54417
.00345,.66556,-1.59565	-.08167,.51246,-.53970
.00345,.66556,-1.59565	-.08278,.51261,-.53835
.00345,.66556,-1.59565	-.08720,.51324,-.53303
.00345,.66556,-1.59565	-.08797,.51336,-.53209
.00345,.66556,-1.59565	-.09115,.51394,-.52826
.00345,.66556,-1.59565	-.09186,.51410,-.52739
.00345,.66556,-1.59565	-.09415,.51466,-.52466
.00345,.66556,-1.59565	-.09657,.51537,-.52195
.00345,.66556,-1.59565	-.10068,.51647,-.51757
.00345,.66556,-1.59565	-.10175,.51671,-.51642
.00345,.66556,-1.59565	-.10399,.51712,-.51405
.00345,.66556,-1.59565	-.10659,.51748,-.51120
.00345,.66556,-1.59565	-.11055,.51787,-.50692
.00345,.66556,-1.59565	-.11153,.51793,-.50580
.00345,.66556,-1.59565	-.11401,.51801,-.50292
.00345,.66556,-1.59565	-.12074,.51772,-.49507
.00345,.66556,-1.59565	-.12134,.51766,-.49436
.00345,.66556,-1.59565	-.12199,.51761,-.49359
.00345,.66556,-1.59565	-.12384,.51743,-.49137
.00345,.66556,-1.59565	-.12637,.51716,-.48827
.00345,.66556,-1.59565	-.13074,.51640,-.48276
.00345,.66556,-1.59565	-.13151,.51624,-.48181
.00345,.66556,-1.59565	-.13327,.51580,-.47960
.00345,.66556,-1.59565	-.13554,.51513,-.47671
.00345,.66556,-1.59565	-.13915,.51397,-.47201
.00345,.66556,-1.59565	-.13997,.51370,-.47092
.00345,.66556,-1.59565	-.14213,.51298,-.46808
.00345,.66556,-1.59565	-.14432,.51223,-.46519
.00345,.66556,-1.59565	-.14795,.51119,-.45989
.00345,.66556,-1.59565	-.14843,.51111,-.45914
.00345,.66556,-1.59565	-.14945,.51097,-.45739
.00345,.66556,-1.59565	-.15074,.51086,-.45487
.00345,.66556,-1.59565	-.15229,.51082,-.45093
.00345,.66556,-1.59565	-.15267,.51082,-.44968
.00345,.66556,-1.59565	-.15331,.51089,-.44716
.00345,.66556,-1.59565	-.15379,.51097,-.44469
.00345,.66556,-1.59565	-.15443,.51105,-.43965
.00345,.66556,-1.59565	-.15451,.51106,-.43887
.00345,.66556,-1.59565	-.15469,.51105,-.43631
.00345,.66556,-1.59565	-.15483,.51093,-.43343
.00345,.66556,-1.59565	-.15495,.51053,-.42866
.00345,.66556,-1.59565	-.15504,.51008,-.42426
-.10482,.66983,-1.45793	-.15505,.51000,-.42348
-.10482,.66983,-1.45793	-.15512,.50981,-.42119
-.10482,.66983,-1.45793	-.15525,.50957,-.41618
-.10670,.66970,-1.45111	-.15528,.50952,-.41463
-.10670,.66970,-1.45111	-.15531,.50938,-.41059
-.10786,.66905,-1.44710	-.15527,.50929,-.40831
-.10786,.66905,-1.44710	-.15497,.50904,-.40329
-.10786,.66905,-1.44710	-.15485,.50898,-.40214
-.10786,.66905,-1.44710	-.15437,.50877,-.39893
-.10881,.66830,-1.44107	-.15365,.50846,-.39562
-.10881,.66830,-1.44107	-.15192,.50774,-.39010
-.10881,.66830,-1.44107	-.15014,.50693,-.38573
-.10881,.66830,-1.44107	-.14967,.50673,-.38472
-.10881,.66830,-1.44107	-.14851,.50620,-.38231
-.10881,.66830,-1.44107	-.14561,.50497,-.37687
-.10881,.66830,-1.44107	-.14476,.50464,-.37539
-.10881,.66830,-1.44107	-.14284,.50394,-.37212
-.10881,.66830,-1.44107	-.14096,.50341,-.36897
-.10881,.66830,-1.44107	-.13773,.50327,-.36341
-.10881,.66830,-1.44107	-.13703,.50340,-.36215
-.10881,.66830,-1.44107	-.13519,.50407,-.35874
-.10881,.66830,-1.44107	-.13349,.50508,-.35557
-.10881,.66830,-1.44107	-.13070,.50723,-.35013
-.10881,.66830,-1.44107	-.13005,.50777,-.34887
-.10881,.66830,-1.44107	-.12682,.51033,-.34267
-.10881,.66830,-1.44107	-.12641,.51064,-.34192
-.10881,.66830,-1.44107	-.12421,.51221,-.33812
-.10881,.66830,-1.44107	-.12333,.51280,-.33676
-.10881,.66830,-1.44107	-.12185,.51371,-.33460
-.10881,.66830,-1.44107	-.12010,.51470,-.33223
-.10881,.66830,-1.44107	-.11699,.51630,-.32835
-.10881,.66830,-1.44107	-.11616,.51671,-.32739
-.10881,.66830,-1.44107	-.11410,.51767,-.32505
-.10881,.66830,-1.44107	-.11197,.51855,-.32269
-.10881,.66830,-1.44107	-.10843,.51963,-.31884
-.10881,.66830,-1.44107	-.10785,.51976,-.31819
-.10881,.66830,-1.44107	-.10577,.52008,-.31586
-.10881,.66830,-1.44107	-.10032,.51991,-.30909
-.10881,.66830,-1.44107	-.09982,.51984,-.30841
-.10881,.66830,-1.44107	-.09941,.51978,-.30783
-.10881,.66830,-1.44107	-.09790,.51953,-.30559
-.10881,.66830,-1.44107	-.09644,.51926,-.30313
-.10881,.66830,-1.44107	-.09426,.51905,-.29885
-.10881,.66830,-1.44107	-.09370,.51907,-.29753
